"Rank","City","State","Total cases as of 3/30"
1,"New York","New York",223872
2,"Westchester","New York",57775
3,"Nassau","New York",41594
4,"Suffolk","New York",29482
5,"King","Washington",20472
6,"Cook","Illinois",19544
7,"Unassigned","New Jersey",15362
8,"Wayne","Michigan",14809
9,"Bergen","New Jersey",12964
10,"Rockland","New York",12497
11,"Los Angeles","California",12458
12,"Orleans","Louisiana",10356
13,"Snohomish","Washington",9587
14,"Orange","New York",7589
15,"Oakland","Michigan",7250
16,"Fairfield","Connecticut",6902
17,"Essex","New Jersey",6838
18,"Miami-Dade","Florida",6771
19,"Middlesex","Massachusetts",6391
20,"Santa Clara","California",6364
21,"Broward","Florida",5701
22,"Suffolk","Massachusetts",5416
23,"Middlesex","New Jersey",5329
24,"Hudson","New Jersey",5218
25,"Monmouth","New Jersey",5104
26,"Philadelphia","Pennsylvania",5015
27,"Jefferson","Louisiana",4867
28,"Union","New Jersey",4833
29,"Passaic","New Jersey",4319
30,"Ocean","New Jersey",3940
31,"Milwaukee","Wisconsin",3857
32,"Clark","Nevada",3740
33,"Macomb","Michigan",3723
34,"Marion","Indiana",3528
35,"San Diego","California",3474
36,"Morris","New Jersey",3324
37,"Norfolk","Massachusetts",3323
38,"Maricopa","Arizona",3257
39,"Dallas","Texas",3195
40,"Montgomery","Pennsylvania",3153
41,"Davidson","Tennessee",3149
42,"Cuyahoga","Ohio",2883
43,"Essex","Massachusetts",2854
44,"Fulton","Georgia",2839
45,"Orange","California",2808
46,"Denver","Colorado",2684
47,"Harris","Texas",2661
48,"San Francisco","California",2613
49,"San Mateo","California",2505
50,"District of Columbia","District of Columbia",2322
51,"Pierce","Washington",2315
52,"Unassigned","Massachusetts",2248
53,"Erie","New York",2174
54,"Mecklenburg","North Carolina",2157
55,"Dutchess","New York",2022
56,"Salt Lake","Utah",2021
57,"Shelby","Tennessee",1995
58,"Palm Beach","Florida",1967
59,"Montgomery","Maryland",1950
60,"Alameda","California",1911
61,"Lake","Illinois",1844
62,"Albany","New York",1818
63,"St. Louis","Missouri",1811
64,"DuPage","Illinois",1781
65,"Worcester","Massachusetts",1774
66,"Somerset","New Jersey",1755
67,"New Haven","Connecticut",1652
68,"Jefferson","Alabama",1622
69,"DeKalb","Georgia",1614
70,"Hartford","Connecticut",1581
71,"Unassigned","Washington",1579
72,"Sacramento","California",1578
73,"Plymouth","Massachusetts",1573
74,"Eagle","Colorado",1560
75,"Delaware","Pennsylvania",1553
76,"Contra Costa","California",1522
77,"Dougherty","Georgia",1518
78,"Monroe","New York",1517
79,"Cobb","Georgia",1515
80,"Hillsborough","Florida",1460
81,"Unassigned","Georgia",1417
82,"Allegheny","Pennsylvania",1409
83,"Travis","Texas",1397
84,"Prince George's","Maryland",1376
85,"Hennepin","Minnesota",1359
86,"Franklin","Ohio",1315
87,"Dane","Wisconsin",1315
88,"Orange","Florida",1310
89,"Riverside","California",1303
90,"Jefferson","Colorado",1287
91,"Arapahoe","Colorado",1283
92,"El Paso","Colorado",1275
93,"Washington","Oregon",1232
94,"Washtenaw","Michigan",1215
95,"Bucks","Pennsylvania",1202
96,"Mercer","New Jersey",1196
97,"Caddo","Louisiana",1117
98,"Tarrant","Texas",1105
99,"Onondaga","New York",1104
100,"Wake","North Carolina",1101
101,"Fairfax","Virginia",1098
102,"Unassigned","Tennessee",1070
103,"Bristol","Massachusetts",1056
104,"Providence","Rhode Island",1047
105,"Summit","Utah",1040
106,"Cumberland","Maine",1035
107,"Bartow","Georgia",1006
108,"Weld","Colorado",1000
109,"New Castle","Delaware",991
110,"Out of TN","Tennessee",990
111,"Bexar","Texas",980
112,"East Baton Rouge","Louisiana",961
113,"Unassigned","Illinois",940
114,"Putnam","New York",929
115,"Berkshire","Massachusetts",918
116,"St. Tammany","Louisiana",916
117,"Williamson","Tennessee",912
118,"Durham","North Carolina",908
119,"Denton","Texas",902
120,"Baltimore","Maryland",901
121,"Hampden","Massachusetts",899
122,"Camden","New Jersey",882
123,"Ulster","New York",865
124,"Monroe","Pennsylvania",855
125,"Gwinnett","Georgia",852
126,"Duval","Florida",847
127,"Collin","Texas",840
128,"Fort Bend","Texas",840
129,"Kershaw","South Carolina",827
130,"Burlington","New Jersey",826
131,"Will","Illinois",825
132,"Unassigned","Colorado",819
133,"Pima","Arizona",817
134,"Chester","Pennsylvania",815
135,"San Joaquin","California",813
136,"Barnstable","Massachusetts",798
137,"Honolulu","Hawaii",784
138,"Lehigh","Pennsylvania",775
139,"Saratoga","New York",768
140,"Oklahoma","Oklahoma",751
141,"Baltimore City","Maryland",745
142,"","Puerto Rico",743
143,"Pinellas","Florida",741
144,"Whatcom","Washington",740
145,"Lee","Florida",739
146,"Ascension","Louisiana",739
147,"Unassigned","Kentucky",732
148,"Collier","Florida",724
149,"Skagit","Washington",720
150,"Douglas","Colorado",711
151,"Unassigned","Nevada",708
152,"Chittenden","Vermont",704
153,"Blaine","Idaho",700
154,"Northampton","Pennsylvania",699
155,"Bernalillo","New Mexico",698
156,"Johnson","Kansas",685
157,"Marin","California",680
158,"","Diamond Princess",680
159,"Richland","South Carolina",673
160,"Genesee","Michigan",669
161,"Marion","Oregon",669
162,"Washoe","Nevada",666
163,"Charleston","South Carolina",661
164,"Spokane","Washington",658
165,"Pulaski","Arkansas",657
166,"Yakima","Washington",656
167,"Johnson","Iowa",649
168,"Rockingham","New Hampshire",641
169,"Boulder","Colorado",639
170,"Island","Washington",624
171,"Unassigned","New York",622
172,"Ventura","California",621
173,"Arlington","Virginia",619
174,"Unassigned","Arkansas",618
175,"Douglas","Nebraska",610
176,"","Grand Princess",609
177,"Sumner","Tennessee",607
178,"Jefferson","Kentucky",606
179,"Schenectady","New York",605
180,"Summit","Ohio",586
181,"Waukesha","Wisconsin",566
182,"James City","Virginia",565
183,"Adams","Colorado",554
184,"Kane","Illinois",552
185,"Gunnison","Colorado",550
186,"St. Louis City","Missouri",549
187,"Kansas City","Missouri",549
188,"Alachua","Florida",545
189,"Howard","Maryland",545
190,"Larimer","Colorado",544
191,"Mahoning","Ohio",541
192,"Unassigned","Rhode Island",537
193,"Anne Arundel","Maryland",535
194,"Multnomah","Oregon",531
195,"San Luis Obispo","California",524
196,"Hamilton","Ohio",520
197,"Osceola","Florida",512
198,"San Bernardino","California",504
199,"Shelby","Alabama",502
200,"Greenville","South Carolina",498
201,"Litchfield","Connecticut",489
202,"Kent","Michigan",488
203,"Sussex","New Jersey",484
204,"Clark","Washington",484
205,"Sullivan","New York",480
206,"Luzerne","Pennsylvania",477
207,"Ada","Idaho",474
208,"Lorain","Ohio",472
209,"Davis","Utah",464
210,"Hamilton","Indiana",458
